notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
11/28/2018,Plant Layoff,Barclays Services Corp.,"(Chief Operating Office teams) 745 Seventh Avenue  New York, NY 10019",(212) 526-5862,Investment bank,308,5242,"The second wave of separations are scheduled to begin on February 27, 2019 and be completed by March 31, 2019.",Relocation,The employees are not represented by a union.,Plant Layoff
11/29/2018,Plant Closing,Mic Network Inc.,"One World Trade Center 285 Fulton Street, 82nd Floor  New York, NY 10007",(917) 689-1862,Digital Publisher,120,120,11/29/2018,Contract Loss/End,"The NewsGuild of New York, Local 31003, CWA",Plant Closing
11/29/2018,Plant Closing,Sterling National Bank (Huntington)," 1229 East Jericho Turnpike   Huntington, NY 11743",(516) 327-7624,Financial Institution,2,7,2/18/2018,Contract Loss/End,The employees are not represented by a union.,Plant Closing
11/19/2018,Plant Closing,Emerald South Nursing & Rehabilitation Center,"1175 Delaware Ave  Buffalo, NY 14209",(718) 215-6000,Nursing Care Facility,160,160,"Layoffs are anticipated to begin in conjunction with resident discharges, which began the week of 11/12/2018. All employees will be terminated from employment no later than January 31, 2019.",Economic,1199 SEIU United Healthcare Workers East,Plant Closing
7/13/2018,Plant Closing,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor New York, NY 10036",(212) 560-1658,Restaurants,86,86,Layoffs postponed from a 14-day period beginning on 11/30/2018 to a 14-day period beginning on 12/31/2018.,End of Lease,The employees are not represented by a union.,Plant Closing
6/28/2018,Plant Layoff,Hebeler LLC,"2000 Military Road Tonawanda, NY 14150",(716) 332-4714,Machinery Manufacturer,17,92,"The company has rescinded the separation of three additional employees and further postponed the separation of two employees until sometime during the 14-day period from December 6, 2018 through December 19, 2018 due to changes in product mix and outsourcing.",Decline in Business with Major Customer,The employees are not represented by a union.,Plant Layoff
11/14/2018,Plant Closing,Equifax Inc.,"61 Hilton Avenue  Garden City, NY 11530",(404) 885-8812,Consumer credit reporting agency.,33,51,"Separations will occur on February 16, 2019, or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
11/13/2018,Plant Closing,Thomson Reuters Corporation," (Operations and Enablement - Technology, Content Operations  & Legal Editorial)  50 East Broad Street  Rochester, NY 14614",(651) 848-3154,Consumer credit reporting agency.,33,51,"Layoffs will begin on or about February 12,  2019 with subsequent rounds of layoffs to occur on or about February 28, 2019,  March 29, 2019, on or about May 31, 2019 and throughout 2019 until the office  is closed.",Economic,The employees are not represented by a union.,Plant Closing
11/13/2018,Plant Closing,FLIK International Corporation,"424 5th Ave  New York, NY 10018",(201) 803-6189,Food service contract at Lord and Taylor,31,31,2/11/2019,Other,The employees are not represented by a union.,Plant Closing
11/8/2018,Plant Closing,"Sears, Roebuck and Co. Full Line Store (#02173)","3065 Route 50  Saratoga Springs, NY 12866",(847) 286-2500,Retail Store,23,23,2/5/2019,Economic,The employees are not represented by a union.,Plant Closing
11/8/2018,Plant Closing,Kmart Store Unit #09381 (Kmart Corporation),"805 New York Avenue  Huntington, NY 11743",(847) 286-2500,Department Store,76,76,"Separations will occur on February 05, 2019 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
11/7/2018,Plant Layoff,Broadcom Inc.,"1 Computer Associates Plaza  Islandia, NY 11749",(631) 342-4970,"Global technology leader that designs, develops and supplies semiconductor and infrastructure software solutions.",241,897,"The expected date of the first separations in each location is February 9, 2019.",Acquisition/Sale,The employees are not represented by a union.,Plant Layoff
10/25/2018,Plant Layoff,Dumas Contracting USA Inc.,"Empire State Mine Project, 408 Sylvia Lake Road Gouverneur, NY 13642",(416) 594-2525,Construction company,33,-----,10/31/2018,Economic,The employees are not represented by a union.,Plant Layoff
11/1/2018,Plant Closing,Bak USA," 425 Michigan Avenue   Buffalo,  NY 14203",(716) 847-8400,Construction company,33,-----,10/31/2018,Economic,The employees are not represented by a union.,Plant Closing
9/28/2018,Plant Layoff,The Research Foundation for  the State University of New York," Buffalo State Campus  1300 Elmwood Avenue  Buffalo, NY 14222",(716) 878-4091,Education research,33,-----,12/31/2018,Contract Loss/End,The employees  are not represented by a union.,Plant Layoff
11/1/2018,Plant Layoff,Eastman Kodak Company (Eastman Business Park)," 1669 Lake Avenue  Rochester, NY 14650",(585) 724-7080,Photographic equipment and Supplies,1,-----,1/29/2019,Economic,The employees  are not represented by a union.,Plant Layoff
7/25/2018,Plant Closing,Aptos Inc.,"15 Governor Drive Newburgh, NY 12550",(845) 926-4226,Software developers,2,15,"This sixth wave of separations is expected to commence during the 14-day period starting on October 24, 2018.  
One employee’s separation date has been extended to the 14-day period starting on December 7, 2018.",Economic,The employees are not represented by a union.,Plant Closing
11/2/2018,Plant Closing,"Reproductive Specialists of New York, LLP","200 Old Country Road, Suite 350  Mineola, NY 11501",(516) 739-2100 Ext,Treating patients with fertility problems,79,119,"The expected date of the closing will occur during the fourteen (14) day period commencing on January 31, 2019 and ending on February 13, 2019.",Acquisition/Sale,The employees are not represented by a union.,Plant Closing
10/9/2018,Plant Closing,"Ivy Enterprises, Inc.","(Warehouse) 3 Seaview Blvd Port Washington, NY 11050",(516) 625-9292,"Fingernails, Artificial Business",24,132,2/3/2019,Relocation,The employees are not represented by a union.,Plant Closing
10/29/2018,Plant Closing,"LSI Industries, Inc.","500 Hudson Valley Ave.  New Windsor, NY 12553",(845) 220-3209,Manufactures indoor lighting products,136,136,"The first separations will commence on January 28, 2019 and that it will be completed by June 30, 2019.",Restructuring,"International Brotherhood of Electrical Workers, Local 363",Plant Closing
8/8/2018,Plant Layoff,Laboratory Corporation of America Holdings,"(on behalf of its subsidiary company, Esoterix Genetics Laboratories, LLC dba Integrated Oncology)  521 West 57 Street  New York, NY 10019",(212) 485-0789,Medical Laboratory,114,160,"Due to business needs, 114 separations will be postponed to occur during a 14-day period starting on 12/8/2018 (74) and a 14-day period starting on 1/31/2019 (40).",Relocation,The employees are not represented by a union.,Plant Layoff
10/24/2018,Plant Closing,"Fedcap Rehabilitation Services, Inc.","(WeCARE Program)  80 Vandam Street, 7th Fl.  Manhattan, NY 10013",(212) 727-4345,Provides assistance to clients with medical and/or mental health barriers to employment by providing customized assistance and services to help them achieve their highest levels of self-sufficiency.,107,(491,1/31/2019,Contract Loss/End,The employees are not represented by a union.,Plant Closing
10/29/2018,Plant Closing,Target Corporation (Commack Store T1387),"4 Henry St.  Commack, NY 11725",(516) 307-7774,Retail Store,182,182,2/2/2019,Economic,The employees are not represented by a union.,Plant Closing
10/25/2018,Plant Layoff,Eastman Kodak Company (Eastman Business Park),"1669 Lake Avenue Rochester, NY 14650",(585) 724-7080,Photographic equipment and Supplies,1,-----,1/22/2019,Economic,The employees are not represented by a union.,Plant Layoff
10/25/2018,Plant Closing,"Conduent Education Services, LLC","501 Bleecker St. Utica, NY 13501",(801) 567-5432,Educational Services,4,96,"This tenth phase of separations will occur on or about January 25, 2019.",Restructuring,The employees are not represented by a union.,Plant Closing
7/13/2018,Plant Closing,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor New York, NY 10036",(212) 560-1658,Restaurants,89,89,Layoffs will occur during a 14-day period beginning on 11/30/2018.,End of Lease,The employees are not represented by a union.,Plant Closing
10/17/2018,Plant Layoff,"A.B.C. Carpet Co., Inc./A.B.C. Oriental Carpets, Inc.","881 Broadway  New York, NY 10003",(646) 602-3223,Carpet Retail store,16,26,"Separations from employment will begin on January 14, 2019 and continue through and until January 27, 2019.",Economic,Teamsters Local Union No. 810,Plant Layoff
10/24/2018,Plant Closing,"Nathan's Famous, Inc.","650-666 86th Street  Brooklyn, NY 11228",(516) 338-8500,Restaurant,20,20,"All employee separations in connection with this action are expected to occur on January 21, 2019.",Economic,Local 1102 RWDSU UFCW,Plant Closing
8/9/2018,Plant Layoff,"Warner Media, LLC (formerly Time Warner Inc.)","One Time Warner Center New York, NY 10019",(212) 484-6572,Media services,94,-----,"Separations will be effective November 9, 2018, or the 14-day period commencing on that date, and December 31, 2018.",Merger,The employees are not represented by a union.,Plant Layoff
10/18/2018,Possible Plant Closing,"NSC Wholesale Holdings, LLC dba National Wholesale Liquidators","2201 59th Street  Brooklyn, NY 11204",(516) 489-3300,Merchandise Liquidators business,66,458,Within 30 to 60 days after liquidation process.,Economic,Amalgamated Local 298 AFL-CIO,Possible Plant Closing
10/17/2018,Plant Closing,"Ingenious Designs LLC, a wholly-owned subsidiary of the Home Shopping Network","(Warehouse/distribution and office functions)  2060 9th Avenue  Ronkonkoma, NY 11779",(727) 872-5315,Warehouse/distribution center and office functions for Joy Mangano and other household products,66,66,"Layoffs will occur during a 14-day period starting on 12/28/2018, 1/18/2019 and 2/28/2019.",Economic,The employees are not represented by a union.,Plant Closing
4/25/2018,Plant Closing,Umami Burger at the Hudson Hotel,"358 West 58th Street New York, NY 10019",(212) 957-8000,Food services,66,66,"Separations will be done in stages, beginning on or about 1/7/2019.",Economic,"New York Hotel & Motel Trades Council, AFL-CIO Local 6 affiliated with UNITE HERE",Plant Closing
10/15/2018,Plant Closing,Kmart Corporation Store #04741," 8363  Lewiston Road  Batavia,  NY 14020",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,Kmart Corporation Store #09392," 349 Orchard Park Rd   West Seneca, NY 14224",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,Kmart Corporation Store #09415," 987 Route 6   Mahopac,  NY 10541",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,Kmart Corporation Store #04123," 2590 Military Rd   Niagara Falls, NY 14304",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,Kmart Corporation #03600," 93 West Campbell Road   Schenectady, NY 12306",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,"Sears, Roebuck and Co. Full Line Store #01004"," 1111 Franklin Ave   Garden City, NY 11530",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,"Sears, Roebuck and Co. Full Line Store #02584"," RT 394 & Hunt Blvd.   Lakewood, NY 14750",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,"Sears, Roebuck and Co. Full Line Store #01944"," 600 Lee Blvd   Yorktown Heights, NY 10598",(847) 286-1427,Food services,66,66,"Employment separations will occur on January 31,  2019 or during a 14-day period
 beginning  on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,"Sears, Roebuck and Co. Full Line Store #01414"," 3000 Fashion Drive   Nanuet,  NY 10954",(847) 286-1427,Food services,66,66,"Employment separations will occur on January  31, 2019 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/15/2018,Plant Closing,"Sears, Roebuck and Co. Auto Center Store #06424","100 W RT 59 Nanuet, NY 10954",(847) 286-1427,Retail Store,12,12,"Employment separations will occur on January 31, 2019 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/11/2018,Plant Closing,"Greenbriar Associates, LLC dba Residence Inn by Marriott","9 Gerhard Road Plainview, NY 11803",(516) 433-6200,Hotel,80,80,1/11/2019,Contract Loss/End,The employees are not represented by a union.,Plant Closing
9/21/2018,Plant Closing,Royal Industries,"225 25th Street  Brooklyn, NY 11232",(718) 369-3046 Ext,Manufacturers of vinyl Advertising Specialties and Vinyl Packaging,77,77,"Individual employees who reject the transfer offer will be terminated on December 21, 2018 during the 14-day period commencing on December 7, 2018.",Relocation,UFCW Local 312,Plant Closing
10/9/2018,Plant Closing,"Ivy Enterprises, Inc.","(Warehouse) 3 Seaview Blvd Port Washington, NY 11050",(516) 625-9292,"Fingernails, Artificial Business",24,132,1/7/2019,Relocation,The employees are not represented by a union.,Plant Closing
10/10/2018,Plant Closing,Lord and Taylor,"424 Fifth Avenue New York, NY 10018",(203) 450-7466,Retail Store,853,853,"Employee separations are expected to occur between January 14, 2019 and January 27, 2019.",Economic,"Service Employees International Union, Workers United, Local 25 (7)
           International Union of Operating Engineers, Local 30 (5)
           International Union of Painters and Allied Trades, DC9 (2)
           International Brotherhood of Electrical Workers, Local 3 (3)
           United Auto Workers, Local 2179 (4)
           United Brotherhood of Carpenters and Joiners of America (4)",Plant Closing
10/15/2018,Plant Closing,Tonawanda Coke Corporation,"3875 River Road Tonawanda, NY 14151",(716 )876-6222 Ext,Operates as a merchant producer of high-quality foundry coke.,129,129,"The employee separations will occur during the 14-day period starting on Sunday, October 14, 2018 and ending on Saturday, October 27, 2018.",Economic,"United Steelworkers, Local 277-14",Plant Closing
10/4/2018,Plant Layoff,MACOM Technology Solutions Inc.,"20 Thornwood Drive Ithaca, NY 14850",(607) 257-3200,"Developer and producer of radio, microwave, and millimeter wave semiconductor devices and components.",25,56,1/4/2019,Economic,The employees are not represented by a union.,Plant Layoff
10/10/2018,Plant Layoff,"Federated Payment Systems, LLC","1 Huntington Quadrangle Melville, NY 11747",(631) 270-7521,Provider of credit card processing solutions,47,81,"The employment separations are expected to occur on or about January 8, 2019.",Acquisition/Sale,The employees are not represented by a union.,Plant Layoff
10/9/2018,Plant Layoff,AllianceBernstein L.P.,"1 North Lexington Ave #17 White Plains, NY 10601",(212) 969-6169,Research-driven investment firm,35,244,"The anticipated layoffs of affected employees will take place on January 31, 2019, February 28, 2019, March 31, 2019 and July 31, 2019.",Relocation,The employees are not represented by a union.,Plant Layoff
6/28/2018,Plant Layoff,Hebeler Process Solutions LLC,"750 East Ferry Street Buffalo, NY 14211",(716) 332-4714,Machinery Manufacturer,0,20,Notice for the last affected employee has been rescinded. No employees will be separated.,Decline in Business with Major Customer,The employees are not represented by a union.,Plant Layoff
10/2/2018,Plant Closing,"Bus Terminal Brewing Co., Inc. d/b/a Heartland Brewery","625 Eighth Avenue New York, NY 10018",(917) 999-6532,Restaurant,53,53,"The layoffs are expected to commence on January 1, 2019 and end on January 11, 2019.",Economic,The employees are not represented by a union.,Plant Closing
9/24/2018,Plant Closing,P.W. Minor LLC,"3 Treadeasy Avenue Batavia, NY 14020",(585) 815-0679,Footwear manufacturing and marketing,81,81,9/25/2018 and 9/26/2018 (48); 10/5/2018 (33),Economic,The employees are not represented by a union.,Plant Closing
10/1/2018,Plant Closing,"Pfizer, Inc.","64 Maple Street Rouses Point, NY",(212) 733-2110,Pharmaceuticals (production),3,16,"The separations will occur January 4, 2019.",Economic,The employees are not represented by a union.,Plant Closing
10/1/2018,Plant Closing,Frederic Fekkai Salon,"712 Fifth Avenue, Fourth Floor New York, NY 10019",(212) 891-0329,Salon services,60,60,12/31/2018,Economic,The employees are not represented by a union.,Plant Closing
10/2/2018,Plant Closing,"Murray Hill Medical Group, P.C.","317 East 34th Street New York, NY 10016",(212) 726-7475,Medical Services,84,113,12/31/2018,Acquisition/Sale,The employees are not represented by a union.,Plant Closing
10/2/2018,Plant Closing,"Compass Group USA, Inc. d/b/a Chartwells (at Molloy College)","1000 Hempstead Avenue Rockville Center, NY 11571",(917) 400-1689,Food Services,26,26,9/28/2018,Contract Loss/End,UNITE HERE Local 100,Plant Closing
9/28/2018,Plant Closing,"Jan  Services, 7th Ave, LLC"," 117 Seventh  Ave, So.   New York, NY 10014",(212) 941-1664,Wholesale  & Catering food services,29,92,12/31/2018,Economic,The employees are not represented by a union.,Plant Closing
10/1/2018,Plant Layoff,Affinity Health Plan (Medicare Product Line),"1776 Eastchester Road Bronx, NY 10461",(718) 794-7128,Personal health care services,28,566,12/31/2018,Other,The employees are not represented by a union.,Plant Layoff
9/28/2018,Plant Closing,Sterling National Bank,"One Jericho Plaza Jericho, NY 11753",(516) 327-7624,Financial Institution,1,199,"The employee separations will occur in stages, with this stage expected to commence during the 14-day period starting on December 31, 2018",Acquisition/Sale,The employees are not represented by a union.,Plant Closing
9/17/2018,Plant Closing,"CDS NFL Event, LLC","20 Times Square New York, NY 10036",(212) 216-0908 Ext,Graphic 3D and 2D Renderings,91,91,12/16/2018,Economic,The employees are not represented by a union.,Plant Closing
9/28/2018,Plant Layoff,The Research Foundation for the State University of New York,"Buffalo State Campus 1300 Elmwood Avenue Buffalo, NY 14222",(716) 878-4091,Education research,6,74,12/31/2018,Contract Loss/End,The employees are not represented by a union.,Plant Layoff
10/2/2018,Plant Layoff,"New Frontiers in TBI, Inc. dba Allwel","Company's NHTD and TBI Waiver Programs 2 West 45th Street, Suite 1200 New York, NY 10036",(716) 826-6245 Ext,Personal care services,59,73,"Separations will occur during a 14-day period starting on December 31, 2018 and ending on January 13, 2019.",Economic,The employees are not represented by a union.,Plant Layoff
9/28/2018,Plant Closing,"Conduent Education Services, LLC","501 Bleecker St.  Utica, NY 13501",(801) 567-5432,Educational Services,43,97,"This ninth phase of separations will occur on or about December 28, 2018.",Restructuring,The employees are not represented by a union.,Plant Closing
9/28/2018,Plant Layoff,Greater Hudson Bank,"155 White Plains Road, Suite 222 Tarrytown, NY 10591",(845) 367-4987,Banking services,1,13,"Subject to the consummation of the merger, layoffs will occur on or between January 1, 2019 and January 15, 2019.",Merger,The employees are not represented by a union.,Plant Layofff
9/28/2018,Plant Closng,"New Avon, LLC","601 Midland Ave Rye, NY 10580",(212) 282-6062,"Direct selling company in beauty, household, and personal care categories.",51,51,"The employee separations in connection with this relocation, if any, will occur during the 14-day period commencing on 12/31/2018.",Relocation,The employees are not represented by a union.,Plant Closing
4/27/2018,Plant Unit Closings,"Citizen Watch Company of America, Inc.","(Credit/Accounts Receivable, Customer Relations, and Finance Operating Units) 350 Fifth Avenue, 29th Floor New York, NY 10118",(212) 497-9795,"Credit/Accounts Receivable, Customer Relations, and Finance Operating Units",30,148,"The employee separations will be commencing on or about June 27, 2018, or within 14 days thereafter. Two (2) employees’ separation dates have been extended to 9/28/2018 or within 14 days thereafter. 
One remaining employee will be separated on or about December 28, 2018, or within 14 days thereafter.",Economic,The employee is not represented by a union.,Plant Unit Closings
12/29/2017,Plant Unit Closing,"Citizen Watch Company of America, Inc.","(Warehouse & Distribution Operating Units) 1 Bulova Avenue Woodside, NY 11377",(212) 497-9795,Warehousing/Distribution and after sales service,59,-----,"Employment separations are expected to commence on or about March 29, 2018 or within 14 days thereafter. The separation date for 8 remaining employees in the Warehouse & Distribution Operating Units has been extended from July 27, 2018, or within 14 days thereafter to September 28, 2018, or within 14 days thereafter. 
The separation date for 5 remaining employees in the Warehouse & Distribution Operating Units has been extended from September 28, 2018, or within 14 days thereafter to December 28, 2018, or within 14 days thereafter.",Economic,Independent Production Maintenance and Service Employees Union,Plant Unit Closing
9/25/2018,Plant Closing,Kmart Corporation Full Line Store #03396,"635 Dutchess Turnpike Poughkeepsie, NY 12603",(847) 257-5068,Retail Store,71,71,"Employment separations will occur on December 23, 2018 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
9/26/2018,Plant Closing,Opry City Stage,"(GOOSPK 1604 Broadway II LLC, a subsidiary of Ryman Hospitality Properties, Inc.) 1604 Broadway in Times Square New York, NY 10019",(212) 382-4641,Music venue and restaurant,99,99,9/27/2018,Economic,The employees are not represented by a union.,Plant Closing
