notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
11/14/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(646) 592-4333,Informational Technology Services,4,52 total affected workers,Layoffs will occur during the 14-day period starting on 2/17/2017.,Outsourcing services,None of the affected workers are represented by a union.,Plant Closing
9/23/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(845) 602-3611,Pharmaceuticals (production),8,-----,12/23/2016,Economic,Local 95c ICWU/UFCW,Plant Closing
11/14/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 312-2161,Hotel,1441,"1,441",3/1/2017,The building will be renovated into a smaller hotel and a condominium complex.,"New York Hotel & Motel Trades Council, AFL-CIO",Plant Closing
11/16/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 686-7231,Injection molding facility,62,62,14-day period beginning on 2/14/2017,Economic,The affected workers are not represented by a Union.,Plant Closing
8/1/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 526-3442,Dairy Plant,273,273,"The separation for the remaining 11 employees will be postponed for purposes of winding down operations. As a result, seven employees will be separated during the 14 day period of 11/18/2016 through 12/2/2016, while the remaining four employees will be separated during the 14 day period of 12/23/16 through 1/6/2017.",Economic,"Local 553, Intrernational Brotherhood of Teamsters",Plant Closing
11/4/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 576-6598,Information Technology and Fincance,45,-----,Layoffs will begin on 2/17/2017 and run through 3/2/2018.,Relocate and/or Outsource some IT and Finance functions.,The affected workers are not represented by a Union.,Plant Layoff
11/9/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 691-0202,Respiratory Products Manufacturer,142,142,Layoffs will occur during the 14-day period starting on 2/10/2017 and will run through 11/1/2017.,Consolidation of operations to Georgia,None of the affected workers are represented by a union.,Plant Closing
4/15/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(914) 761-8100 ext 7124,Senior Residences,65,65,"14-day period beginning on 7/14/2016  
(1 layoff extended from 14-day period starting on 10/25/2016 to 14-day period commencing on 3/31/2017)
.",Multi year overhaul of building,UNITE HERE Local 100,Plant Closing
5/8/2015,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 665-2225,Laundry Service,58,58,Layoffs postponed from 11/16/2016 to 12/5/2016. Some employees will remain after 12/5/2016 to wind down operations.,Economic,Laundry Distribution and Food Service Joint Board,Plant Closing
10/31/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(201) 462-5555,Fragrance Manufacturing facility,36,36,2/1/2017,Consolidation of Operations to New Jersey facility,The affected workers are not represented by a union.,Plant Closing
11/1/2016,Possible Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(518) 235-9165,Food services,46,46,TBD,Potential loss of food services contract due to pending sale of Genesee County Nursing Home.,The affected workers are not represented by a union.,Possible Plant Closing
10/25/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(585) 724-7080,Photographic equipment and supplies,5,-----,1/22/2017,Economic,The affected workers are not represented by a union.,Plant Layoff
10/28/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(631) 208-2314,Bank,65,76 total affected at both sites,"Separations will occur during the 14-day period beginning on January 26, 2017.","People’s United Financial, Inc., the holding company for People’s United Bank, N.A. is acquiring Suffolk Bancorp, the holding company for Suffolk County National Bank.",The affected workers are not represented by a union.,Plant Layoff
8/31/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(301) 841-1371,Asset management and private equity firm,53,53,Layoffs postponed from 14-day period starting on 12/1/2016 to 14-day period starting on 1/1/2017.,Merger,None of the affected workers are represented by a union.,Plant Closing
7/21/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(914) 244-5334,Media and direct marketing,31,31,Separations will occur commencing on 10/21/2016 and run through 4/30/2017.,"Sale of certain assets to Readerlink Distribution Services, LLC",The affected employees are not represented by any union.,Plant Closing
10/24/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(516) 997-5757,Aerospace structural products manufacturer,90,90,Layoffs will begin on 1/15/2017 and run through the closing date.,Consolidation of operations,The affected workers are not represented by a union.,Plant Closing
7/12/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 363-8704,Plastic packaging and protection products,54,54,"12/2/2016
 (a few employees will remain beyond this date to meet customer needs)",Transfer of manufacturing operations,The affected workers are not represented by a union.,Plant Closing
10/21/2016,Plant Unit Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 222-6649,Drug Rehabilitation - Clinical Unit,6,109,1/19/2017,Operational Changes,The affected workers are not represented by a union.,Plant Unit Closing
10/21/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 357-2191,Investment Brokerage/Dealer,20,-----,Terminations will take place between 11/7/2016 and 1/5/2017.,Economic,None of the affected workers are represented by a union.,Plant Layoff
10/14/2016,Plant Unit Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(615) 372-2080,Customer Service Call Center,648,763,One (1) Recruiter job will be terminated on 1/13/2017 and all other non-recruiting jobs will be terminated on or within 14 days after 1/28/2017.,Consolidation of Operations,The affected workers are not represented by a union.,Plant Unit Closing
10/14/2016,Plant Unit Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(845) 365-7395,Telesales - Call Center,259,724,Two (2) Recruiter jobs will be terminated on 1/13/2017 and all other non-recruiting jobs will be terminated on or within 14 days after 6/1/2017.,Consolidation of Operations,The affected workers are not represented by a union.,Plant Unit Closing
10/7/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(585) 724-7080,Photographic equipment and Supplies,1,-----,1/4/2017,Economic,The affected worker is not represented by a union.,Plant Layoff
10/7/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(914) 840-3242,Healthcare uniform and linen rental company and laundry and linen services,65,65,1/7/2017,Economic,Workers United,Plant Closing
10/11/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 583-4092,Stock Brocker & Dealer,32,58,"Eighteen individuals are being separated on 10/31/2016, and 14 are being separated on 12/31/2016.",Economic,The affected workers are not represented by a union.,Plant Closing
10/10/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(952) 948-5353,Call Center,147,-----,1/8/2017,Loss of Contract,The affected workers are not represented by a union.,Plant Layoff
10/3/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(585) 724-7080,Photographic equipment and Supplies,1,-----,12/31/2016,Economic,The affected worker is not represented by a union.,Plant Layoff
9/30/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 346-9600 x270,Charter Bus Service,6,57,12/31/2016,Economic,"International Brotherhood of Teamsters, Local Union No. 553",Plant Layoff
9/30/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 757-2245,Restaurant,58,58,12/31/2016,Economic,"Unite Here Local 100, Food Service Division",Plant Closing
9/16/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(847) 286-5904,Department Store,69,69,All employee separations are expected to occur during the 14-day period commencing on 12/14/2016.,Economic,The affected workers are not represented by a union.,Plant Closing
9/16/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(847) 286-5904,Department Store,101,101,All employee separations are expected to occur during the 14-day period commencing on 12/14/2016.,Economic,None of the affected workers are represented by a union.,Plant Closing
7/12/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 363-8704,Plastic packaging and protection products,54,54,Layoffs to occur on 10/31/2016 with a few employees being retained until November.,Transfer of manufacturing operations,The affected workers are not represented by a union.,Plant Closing
9/30/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(203) 351-3557,Hospitality Company (StarLab office),51,-----,12/31/2016,Reorganization of operations,The affected employees are not represented by a union.,Plant Layoff
9/29/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(646) 775-9184,Social Advocacy Organization - Clinton Global  Initiative,74,-----,12/31/2016,Discontinutation of the Clinton Global  Initative.,"The affected employees are not represented by a union, and there are no bumping rights.",Plant Layoff
9/29/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(609) 234-0598,Digital Marketing Services,57,57,12/27/2016,Economic,"Communications Workers of America, Local 1122",Plant Closing
9/29/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(646) 783-9759,Insurance Agency & Brokerage,31,-----,12/31/2016 or within 14 days thereafter.,"Member Services Team transition to the “Care Team” model and transition to Tempe, Arizona.",The affected workers are not represented by a union.,Plant Layoff
6/17/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 895-2100  Ext 133,Design and Manufacture of Process Equipment,53,53,"To occur between 9/15/2016 and 
9/30/2016.",Sale of company,"International Association of Machinists and Aerospace Workers AFL-CIO, Affiliate Lodge #330",Plant Closing
8/4/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(914) 989-7800,Continuing Care Retirement Community,89,89,It is anticipated the separation of employees will occur during a 14-day period between 10/28/2016 and 11/10/2016.,"Chapter 11 – Sale to The Bethel Methodist Home, Inc.",1199 SEIU United Healthcare Workers East,Plant Closing
5/8/2015,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 665-2225,Laundry Service,58,58,Layoffs postponed from 8/7/2015 to 11/16/2016. Some employees will remain until 11/30/2016 to wind down operations.,Economic,Laundry Distribution and Food Service Joint Board,Plant Closing
8/15/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(516) 832-3014,Electronics Store,60,60,11/12/2016,Economic,The affected workers are not represented by a union.,Plant Closing
9/15/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 235-5888,Tour Bus Service,82,-----,12/14/2016,Plant Layoff,"Transport Workers Union of America, Local 225",Plant Layoff
9/22/2016,Plant Unit Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(516) 861-7384,Mattress Retailer (Finance & Accounting Unit),28,-----,12/31/2016 or during 14-day period thereafter (27); 4/15/2017 or during 14-day period thereafter (1),Restructuring Operations,There is no union representing the affected employees.,Plant Unit Closing
9/16/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(917) 900-4673,On-line News & Media,12,124,9/16/2016,Economic,News Media Guild (the affected workers in this action are not represented by a union),Plant Layoff
3/4/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 679-0452,Food Concession,0,134,4/30/2016,Loss of Contract for Concessionaire Sublease agreement,Bumping rights are not specific to this particular situation.,Plant Closing
9/15/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(856) 917-3312,Real Estate Credit,91,294,Layoffs  will begin on 12/31/2016 or within 14-days  thereafter.,Reduction in loan originations,The affected workers are not represented by a union.,Plant Layoff
9/16/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 722-6181,Behavioral Health Care Coordination DOHMH Program,1,-----,12/16/2016,Economic,The affected workers are not represented by a union.,Plant Layoff
4/15/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(914) 761-8100 ext 7124,Senior Residences,65,65,"14-day period beginning on 7/14/2016 
(1 layoff extended from 14-day period starting on 8/28/2016 to 14-day period commencing on 12/31/2016).",Multi year overhaul of building,UNITE HERE Local 100,Plant Closing
2/22/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 870-4956,Skilled nursing home care facility,889,889,"To commence during the 14-day period starting on 
9/12/2016
.","Sale of business to TCPRNC, LLC (The Plaza)","1199 SEIU, United Healthcare Workers, East, New York State Nurses Association",Plant Closing
9/8/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(646) 485-5427,Headquarters/Corporate offices,198,228 (both sites),Expected separations to occur between 12/8/2016 and 12/21/2016.,Chapter 11 Bankruptcy – sale of company,The affected workers are not represented by a union.,Plant Closing
9/9/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(732) 560-5300 ext. 4142,Semi-conductor Machinery Manufacturing,18,18,12/31/2016 (5); 3/31/2017 (13),Relocation of operations,The affected workers are not represented by a union.,Plant Closing
8/31/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(301) 841-1371,Asset management and private equity firm,53,53,"Layoffs will commence on 12/1/2016, or the 14-day period commencing that date.",Merger,None of the affected workers are represented by a union.,Plant Closing
9/8/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 204-3628,Mortgage servicing,2,267,12/6/2016,Sale of mortgage servicing operations to Nationstar Mortgage Holdings Inc.,None of the affected employees are represented by a union.,Plant Layoff
8/31/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(305) 358-9002 ext. 1333,Corporate Headquarters - Health Spa,33,33,Layoffs will begin on 12/1/2016 and separations will run through 3/31/2017.,Economic,Affected workers are not represented by a union.,Plant Closing
9/1/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(317) 810-3856,Lock Manufacturer,58,58,Separations will begin on 12/13/2016 and run through  2/10/2017.,"Consolidation of operations to  Indianapolis, Indiana",Affected workers are not represented by a union.,Plant Closing
6/3/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(631) 244-3020,College,412,412,"6/1/2016 - 
1 employee layoff extended to 8/11/2016.",Economic,Dowling College – Brookhaven Campus,Plant Closing
2/22/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(212) 870-4956,Skilled nursing home care facility,845,845,"To commence during the 14-day period starting on 
8/29/2016","Sale of business to TCPRNC, LLC (The Plaza)","1199 SEIU, United Healthcare Workers, East, New York State Nurses Association",Plant Closing
8/31/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(585) 296-3112,Ball and Roller Bearing Manufacturer,54,54,Layoffs will begin on12/2/2016 and continue through 12/16/2016.,Economic,The affected workers are not represented by a union.,Plant Closing
8/17/2016,Plant Layoff,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(847) 286-2500,Retail Department Store,44,-----,Separations are expected to occur during the 14-day period commencing on 11/16/2016.,Economic,The affected workers are not represented by a union.,Plant Layoff
11/18/2015,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 560-3451,Power Plant,64,64,"to occur between 2/22/2016 and 
9/23/2016",Economic,International Brotherhood of Electrical Workers - Local Union 97,Plant Closing
12/18/2015,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(716) 560-3451,Power Plant,72,72,"to occur between 3/31/2016 and 
10/31/2016",Economic,International Brotherhood of Electrical Workers - Local Union 97,Plant Closing
8/25/2016,Plant Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(201) 930-2154,Pharmaceuticals Manufacturer,236,236,Layoffs will commence on 8/25/2016 and continue at the date of the plant closing.,Economic,"United Steel, Paper & Forestry Rubber, Manufacturing Energy, Allied Industrial and Service Workers International Union, District 4",Plant Closing
8/26/2016,Plant Unit Closing,TANF Support Operations," 741 Flushing Ave, 3rd and 4th  Floor  Brooklyn, NY  11206",(718) 222-6649,Drug Rehabilitation - Clinical Unit,42,109,11/25/2016,Operational Changes,The affected workers are not represented by a union.,Plant Unit Closing
