notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/12/2019,Plant Layoff,Evolent Health LLC,"519 8th Ave, Suite 14  New York, NY 10018",(571) 386-1990,a company providing an integrated value-based care platform for the nations leading providers and payers,49,-----,"March 31, 2020",Loss of contract with SOMOS Healthcare Providers. Inc.,The employees are not represented by a union.,Plant Layoff
12/10/2019,Plant Layoff,"HCL America, Inc.","800 Phillips Road  Webster, NY 14580",(908) 731-2256,Leading global IT services company,16,217,"March 6, 2020",Economic,The employees are not represented by a union.,Plant Layoff
11/19/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,-----,"February 16, 2020",Economic,The remote employee is not represented by a union.,Plant Layoff
9/30/2019,Plant Closing,"PB&J Group, LLC (dba Candle 79)","154 East 79th Street  New York, NY 10075",(718) 679-5214,Organic restaurant,48,48,12/31/2019,Economic,The employees are not represented by a union.,Plant Closing
12/9/2019,Plant Layoff,GBG USA Inc. (Global Brands Group),"Corporate Headquarters  350 5th Ave  New York, NY 10118",(646) 839-7614,Apparel store offices,83,340,"Separations will occur between January 1, 2020 and June 30, 2020.",Economic,The employees are not represented by a union.,Plant Layoff
9/9/2019,Plant Closing,Catholic Guardian Services,"140 Casals Place, Co-Op City, Apt. 21 H  Bronx, NY 10475",(212) 371-1000 Ext,Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.,34,174,"The expected date of separation is 
January 3, 2020
, or within 14 days thereafter.",Discontinuation of operations,United Food & Commercial Workers’ Union (UFCW) Local 888,Plant Closing
12/11/2019,Plant Closing,"Castelli America, LLC","5151, 5152, 5183 Fairbanks Road and 5185 Route 474,  Harmony, New York 14710 (also known as 5185 Route 474, Ashville, New York 14710)",(716) 782-2101,Cheese manufacturer,68,68,"December 6, 2019",Economic,The employees are not represented by a union.,Plant Closing
12/6/2019,Plant Closing,Gibsons Bar and Steakhouse (at the Polo Bar Ralph Lauren),"1 E. 55th Street  New York, NY 10022",(312) 587-0575 Ext,Restaurant,156,156,"Separations will occur during the 14-day period starting on February 1, 2020.",Gibsons Bar and Steakhouse is ceasing its operations at the Polo Bar Ralph Lauren.,The employees are not represented by a union.,Plant Closing
12/5/2019,Plant Closing,"Brooks-TLC Hospital System, Inc., TLC Health Network Campus","845 Routes 5 & 20 (Main Road)  Irving, NY 14081",(716) 363-7263,Acute Care Hospital,201,201,"December 3, 2019 – March 2, 2020",Economic,1199 SEIU United Healthcare Workers East,Plant Closing
12/4/2019,Plant Closing,"GL&V USA, Inc. (Part of Valmet)","27 Allen Street  Hudson Falls, NY 12839",(518) 747-1367,Paper mill machinery manufacturer,40,40,"Layoffs will occur in waves beginning on March 3, 2020 and continuing through December 31, 2020.",Economic,The employees are not represented by a union.,Plant Closing
11/27/2019,Plant Layoff,"HCL America, Inc.","800 Phillips Road  Webster, NY 14580",(908) 731-2256,Leading global IT services company,11,-----,1/16/2020 (1 affected employee); 1/20/2020 (1 affected employee); 2/10/2010 (8 affected employees); and 2/26/2020 (6 affected employees).,Economic,The employees are not represented by a union.,Plant Layoff
11/22/2019,Plant Layoff,"WeWork Companies, Inc.","115 W 18th St.  New York, NY 10011",(646) 809-4474,Commercial real estate company,414,911,"Separations are expected to occur on February 21, 2020 and 
March 2, 2020
. Of the total 
911
 employees, 
262
 will be offered transitional positions to one or more third party vendors.",Economic,The employees are not represented by a union.,Plant Layoff
12/6/2019,Plant Closing,"Crystal Run Health Plan, LLC (Phase 3)","109 Rykowski Lane  Middletown, NY 10941",(845) 703-6106,Health Plans,4,18,"Separations are expected to commence during the 14-day period starting on March 6, 2020.",Economic,The employees are not represented by a union.,Plant Closing
12/5/2019,Plant Closing,"Quality Frozen Foods, Inc.","1663 62nd Street  Brooklyn, NY 11204",(718) 256-9100,Wholesale grocer,82,82,"Separations will occur during the 14-day period commencing on March 4, 2020.",Sale of the business,Teamsters Local 707,Plant Closing
12/3/2019,Plant Layoff,KIK Custom Products,"935 East Hiawatha Blvd. Syracuse, NY 13208",(337) 421-6011,Packaging and labeling services,27,38,"The layoffs to begin on December 20, 2019, or within a fourteen (14) day period beginning on that date, but completed in phases based on exiting volume, with the last anticipated end date being March 31, 2020.",Significant reduction in production,The employees are not represented by a union.,Plant Layoff
12/3/2019,Plant Closing,Icahn Capital L.P.," 767 Fifth Avenue  New York, NY 10153",(212) 702-4354,Private equity,3,27,"March 31, 2020","Relocating to Miami, Florida",The employees are not represented by a union.,Plant Closing
12/2/2019,Plant Layoff,"Featherstone Foods, Inc."," 1164 E. 156th Street  Bronx, NY 10474",(914) 497-2204,Food products supplier,99,99,"March 2, 2020","Acquisition of Featherstone Foods, Inc. by Featherstone Distribution, LLC.",The employees are not represented by a union.,Plant Layoff
11/27/2019,Plant Layoff,"Crosstex International, Inc. (Cantel) Phase 3","10 Ranick Road Hauppauge, NY 11788",(631) 582-6777,Dental equipment distribution and manufacturing,13,88,"Separations are anticipated to occur on February 28, 2020.","Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.",The employees are not represented by a union.,Plant Layoff
10/22/2019,Plant Closing,Ibase Operations Corp. 'dba' Qualitest,"111 8th Ave  New York, NY 10011",(619) 278-9481,Independent software testing & Quality Assurance Service,63,63,"February 28, 2020",Economic,The employees are not represented by a union.,Plant Closing
9/23/2019,Plant Unit Closing,ACCO Brands USA LLC,"941 Acco Way  Ogdensburg, NY 13669",(315) 605-3090,Manufacturing operations,54,100,"Due to business requirements, Phase 1 and Phase 2 separations have been combined with separations to occur on 1/3/2020 (3); 1/24/2020 (30); 2/28/2020 (19); and 6/2/2020 (2).",Termination of Manufacturing Operations,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503",Plant Unit Closing
12/3/2019,Plant Closing,Oakwood Worldwide (US) LP,"888 Sixth Avenue, Suite 305  New York, NY 10017",(562) 473-7383,Providing temporary and long-term housing accommodations for relocated individuals and corporate officials.,21,21,"Separations will occur March 2, 2020 or the 14-day period beginning on that date.",Economic,New York Hotel & Motel Trades Council,Plant Closing
11/27/2019,Plant Layoff,"Distinctive Maintenance Partners, LLC","851 Tinton Avenue  Bronx, NY 10456",(718) 764-0000,Cleaning Services,118,-----,"December 31, 2019",Non-renewal of service contract with Acacia Housing Network Inc.,The employees are not represented by a union.,Plant Layoff
11/25/2019,Plant Unit Closing,"PrimeFlight Aviation Services, Inc.","John F. Kennedy International Airport  Queens, NY 11430",(281) 942-6800,"Provides airline, aircraft, airport services",450,450,3/1/2020,Loss of contract with JetBlue Airway Corporation at John F. Kennedy International Airport,Service Employees International Union Local 32BJ (SEIU),Plant Unit Closing
11/22/2019,Plant Unit Closing,Jet.com Inc. (Walmart),"1055 Bronx River Ave  Bronx, NY 10472",(312) 513-8842,Online grocery services,160,160,2/28/2020,Economic,The employees are not represented by a union.,Plant Unit Closing
11/22/2019,Plant Layoff,"WeWork Companies, Inc.","115 W 18th St.  New York, NY 10011",(646) 809-4474,Commercial real estate company,414,898,"Separations are expected to occur on February 21, 2020. Of the total 898 employees, 260 will be offered transitional positions to one or more third party vendors.",Economic,The employees are not represented by a union.,Plant Layoff
11/22/2019,Plant Closing,Salisbury Hotel,"123 West 57th Street  New York, NY 10019",(518) 740-2493,Hotel,87,87,2/20/2020,Economic,"New York Hotel and Motel Trades Council, AFL-CIO (Local 6)",Plant Closing
11/25/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,178,2/22/2020,Economic,The employee is not represented by a union.,Plant Layoff
7/13/2018,Plant Closing,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor New York, NY 10036",(212) 560-1658,Restaurants,45,45,"Close of business on March 31, 2020, or during the 14 day period thereafter for the food court employees. It is anticipated that the TGI Fridays will continue in operation beyond this period.",Expiration of lease,The employees are not represented by a union.,Plant Closing
11/14/2019,Plant Layoff,Home Box Office. Inc.,"30 Hudson Yards  New York, NY 10001",(212) 512-5644,"American premium channel owned by the Home Box Office, Inc.",15,1173,"Separations will occur on February 12, 2020, or the 14-day period commencing on that date.",Merger,The employees are not represented by a union.,Plant Layoff
11/15/2019,Plant Layoff,"Residential Treatment Center and Learning Center, Lutheran  Social Services Group, Inc. (Gustavus Adoiphus Child and Family Services, Inc.)"," 715 Falconer Avenue   Jamestown, NY 14701",(716) 665-8136,"American premium channel owned by the Home Box Office, Inc.",15,1173,"The expected date of the first separation of  employees is February 14, 2020 but no later than February 28, 2020.",Merger,The employees are not represented by a union.,Plant Layoff
11/15/2019,Plant Layoff,"Residential Treatment Center (Gustavus Adolphus Child and  Family Services, Inc.)"," 200 Gustavus Avenue   Jamestown, NY 14701",(716) 665-8136,"American premium channel owned by the Home Box Office, Inc.",15,1173,"The expected date of the first separation of  employees is February 14, 2020 but no later than February 28, 2020.",Merger,The employees are not represented by a union.,Plant Closing
11/15/2019,Plant Layoff,"Learning Center (Gustavus Adolphus Child and Family Services,  Inc.)"," 210 Gustavus Avenue   Jamestown, NY 14701",(716) 665-8136,"American premium channel owned by the Home Box Office, Inc.",15,1173,Layoff Date,Merger,New York State United Teachers,Plant Closing
11/20/2019,Plant Closing,Mountain States Rosen Company (Hunts Point Co Op Markets)," 355 Food Center Drive   Bronx,  NY 10474",(970) 576-3600  Ext,"American premium channel owned by the Home Box Office, Inc.",15,1173,Layoff Date,Merger,UFCW Local 342,Plant Closing
10/22/2019,Plant Layoff,"Home Box Office, Inc.","30 Hudson Yards  New York, NY 10001",(212) 512-5644,"American premium channel owned by the Home Box Office, Inc.",12,1173,"Separations will occur between February 1, 2020 or the 14-day period commencing on that date and running through December 31, 2020, and, or the 14-day period commencing on that date.",Merger,The employees are not represented by a union.,Plant Layoff
11/12/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,-----,"February 09, 2020",Economic,The employees are not represented by a union.,Plant Layoff
11/12/2019,Plant Closing,Plated.,"111 W. 19th Street, 3rd Floor  New York, NY 10011",(631) 334-1937,American ingredient-and-recipe meal kit service,128,128,"Separations from employment is expected to occur during the 14-day window beginning February 10, 2020.",Economic,The employees are not represented by a union.,Plant Closing
7/31/2019,Plant Closing,Cayuga Operating Company LLC (Heorot Power),"228 Cayuga Drive  Lansing, NY 14882",(607) 533-7913 Ext,Power station,44,44,"Separations have been extended for 27 employees from October 29, 2019 or within 14 days thereafter to December 27, 2019 or within 14 days thereafter.",Economic,"International Brotherhood of Electrical Workers, Local 10",Plant Closing
11/8/2019,Plant Closing,Transform SR LLC (Sears Unit #01984),"S 3701 McKinley Parkway  Buffalo, NY 14219",(847) 286-1427,Retail store,45,45,"Separations will occur on February 16, 2020 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
11/8/2019,Plant Closing,Transform KM LLC (Kmart Unit #03862),"5151 Sunrise Highway  Bohemia, NY 11716",(847) 286-1427,Retail store,78,78,"Separations will occur on February 16, 2020 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
11/8/2019,Plant Closing,Transform KM LLC (Sidney - Kmart Unit #07676),"171 Delaware Avenue  Sidney, NY 13838",(847) 286-1427,Retail store,84,84,"Separations will occur on February 16, 2020 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
11/1/2019,Plant Closing,Forever 21 (Store #0614),"World Trade Center 185 Greenwich Street, Ste. LL4435  New York, NY 10007",(213) 765-2966,Retail Store,66,126,"Separations will commence on February 4, 2020 or within 14 days thereafter.",Economic,The employees are not represented by a union.,Plant Closing
10/16/2019,Plant Closing,Barneys New York,"575 5th Avenue  New York, NY 10017",(212) 450-8606,Retail,165,165,"Employment terminations extended from November 1, 2019 (or a date within 14 days thereafter) to as early as December 15, 2019 (or a date within 14 days thereafter) for the employees located at 575 5th Avenue, New York, NY 10017 and as early as December 31, 2019 (or a date within 14 days thereafter) for the employees located at 660 Madison Avenue, New York, NY 10065; 101 7th Avenue, New York, NY 10011; and 240 Hudson Valley District, Suite 240, Central Valley, NY 10917.",Economic,New York New Jersey Regional Joint Board Workers United A/W SEIU,Plant Closing
10/30/2019,Plant Closing,Damiano Corp of Jamaica d/b/a McDonald's,"166-30 Jamaica Ave Jamaica, NY 11432",(201) 954-3135,Restaurant,23,23,"November 30, 2019",Economic,The employees are not represented by a union.,Plant Closing
11/5/2019,Plant Layoff,"Marvell Semiconductor, Inc. (East Fishkill office)","2070 Route 52  Hopewell Junction, NY 12533",(408) 222-2500,Global semiconductor company,23,-----,"January 6, 2020",Economic,The employees are not represented by a union.,Plant Layoff
11/7/2019,Plant Layoff,"LSC Communications US, LLC (Dover Publications office)"," 31 East 2nd Street  Mineola, NY 11501",(516) 294-7000 Ext,Commercial printing company,23,59,"Separations are expected to commence on or about February 7, 2020 and continue through June 30, 2020",Economic,The employees are not represented by a union.,Plant Layoff
10/29/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,------,1/26/2020,Economic,The employee is not represented by a union.,Plant Layoff
10/30/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,3,------,1/27/2020,Economic,The employees are not represented by a union.,Plant Layoff
10/31/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,2,------,1/28/2020,Economic,The employees are not represented by a union.,Plant Layoff
10/28/2019,Plant Layoff,L3Harris Technologies,"600 Third Avenue  New York, NY 10016",(212) 805-5318,A global defense technology leader,34,-----,"January 20, 2020 (1 employee); January 31, 2020 (6 employees); March 31, 2020 (27 employees)",Economic,The employees are not represented by a union.,Plant Layoff
10/31/2019,Plant Layoff,IPRO Headquarters,"1979 Marcus Avenue, Suite 105 Lake Success, New York 11042",(516) 209-5425,Health Care Service Contracts,136,228,"The expected date of separation is January 31, 2020.",End of one of IPRO’s core contracts,The employees are not represented by a union.,Plant Layoff
10/31/2019,Plant Closing,Lord + Taylor,"1825 Palisades Center Drive West Nyack, NY 10994",(860) 626-9652,Retail store,91,91,"Employee separations are expected to occur beginning January 31, 2020.",Economic,The employees are not represented by a union.,Plant Closing
10/28/2019,Plant Unit Closing,"Bethany Nursing Home & HRF, Inc. and Bethany Retirement Home, Inc.","(collectively Bethany Village) 3005 Watkins Road  Horseheads, NY 14845",(607) 378-6954,Food service operations unit,52,52,2/8/2020,"Bethany Village will be contracting with Morrison Community Living, a division of Morrison Management Specialists, Inc.",The employees are not represented by a union.,Plant Unit Closing (ending its food service operations)
9/3/2019,Plant Layoff,"Dexia Credit Local, New York Branch","445 Park Avenue New York, NY 10022",(212) 705-0725,Bank,33,71,"Employee separations are expected to occur beginning December 2, 2019, through December 13, 2019.",Economic,The employees are not represented by a union.,Plant Layoff
10/23/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,2,------,"January 20, 2020",Economic,The employees are not represented by a union.,Plant Layoff
10/29/2019,Plant Closing,iPic Entertainment Inc.,"1 Hamilton Street  Dobbs Ferry, NY 10522",(561) 886-3236,Theater company,126,126,"November 11, 2019",Economic,The employees are not represented by a union.,Plant Closing
10/29/2019,Plant Layoff,Macquarie Holdings (U.S.A.) Inc.,"125 W. 55th Street  New York, NY 10019",(212) 231-1916,Fincanial services (US Cash Equities Division),86,-----,"Separations from employment will occur on or about November 12, 2019, or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Layoff
10/29/2019,Plant Closing,Cascades Tissue Group,"148 Hudson River Road  Waterford, NY 12188",(518) 238-1900 Ext,Tissue manufacturing and conversion company,96,96,3/27/2020,Economic,The employees are not represented by a union.,Plant Closing
10/24/2019,Plant Layoff,"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street  Lancaster, NY 14086",(201) 419-9246,Medical equipment manufacturer,54,96,"February 28, 2020 (38 employees); March 31, 2020 (12 employees); and June 30, 2020 (4 employees).",Economic,The employees are not represented by a union.,Plant Layoff
10/9/2019,Plant Closing,"HMS Ferries, Inc. (HMS Global Maritime LLC)","10 South Street  New York, NY 10004",(812) 941-9990,Full-service marine management company,29,29,10/31/2019,Loss of contract to continue services at the Governors Island site,"International Organization of Masters, Mates & Pilots",Plant Closing
10/25/2019,Plant Closing,Nordstrom (Rack Store at Skyview Center (Store 512),"4024 College Point Blvd., Suite D417  Flushing, NY 11354",(206) 303-2756,Retail Store,42,42,"The expected separation date will be January 31, 2020, or within the two-week period following that date.",Economic,The employees are not represented by a union.,Plant Closing
10/23/2019,Plant Layoff,"AmTrust Financial Services, Inc.","600 Essjay Drive  Williamsville, NY 14221",(216) 727-4798,Insurance,39,74,"The last day of employment is expected to be January 24, 2020.",Economic,The employees are not represented by a union.,Plant Layoff
8/1/2019,Plant Layoff,"Home Box Office, Inc.","300 New Highway  Hauppauge, NY 11778",(212) 512-8684,American premium channel,64,157,"Four affected employees’ separation dates have been postponed from November 2, 2019, or the 14-day period starting on that date, to November 22, 2019, or the 14-day period starting on that date. One employee’s separation date has been postponed from November 2, 2019, or the 14-day period starting on that date, to November 30, 2019, or the 14-day period starting on that date.",Merger,Radio and Television Broadcast Engineers Union Local 1212 (IBEW),Plant Layoff
8/1/2019,Plant Layoff,Home Box Office. Inc.,"300 New Highway  Hauppauge, NY 11778",(212) 512-8684,American premium channel,64,157,"Separations will occur on 11/1/2019, or the 14-day period starting on that date.",Merger,Radio and Television Broadcast Engineers Union Local 1212 (IBEW),Plant Layoff
10/16/2019,Plant Closing,Barneys New York,"575 5th Avenue  New York, NY 10017",(212) 450-8606,Retail,165,165,"Separations may occur as early as November 1, 2019 or a date within 14 days thereafter.",Economic,New York New Jersey Regional Joint Board Workers United A/W SEIU,Plant Closing
10/9/2019,Plant Closing,Del Frisco's Grille,"160 Walt Whitman Road, Suite 1108B  Huntington Station, NY 11746",(469) 913-1863,Full service restaurant,72,72,12/23/2019,Economic,The employees are not represented by a union.,Plant Closing
10/17/2019,Plant Closing,Premier Paratransit LLC,"940 Remsen Avenue  Brooklyn, NY 11236",(718) 927-1410 Ext,Full service transportation business geared towards the physically challenged.,303,303,Affected employees will be separated between 11/1/2019 and 12/31/2019.,Loss of contract with the New York City Transit Authority,Local 713 International Brotherhood of Trade Unions,Plant Closing
10/17/2019,Plant Layoff,Cartoon Network Enterprises,"30 Hudson Yards  New York, NY 10001",(404) 575-9735,Media services,7,12,"Separations will occur on December 27, 2019, or the 14-day period commencing on that date",Economic,The employees are not represented by a union.,Plant Layoff
10/16/2019,Plant Unit Closing,"EmblemHealth Services Company, LLC","55 Water St.  New York, NY 10041",(646) 447-0495,Health claims processing,60,1241,"Separations will begin on or about January 14, 2020 or within 14 days following that date.",Relocation of claims processing work,Local 153 Office & Professional Employees International Union,Plant Unit Closing
10/15/2019,Plant Layoff,ER Select LLC at St. James Mercy Hospital,"411 Canisteo Street  Hornell, NY 14843",(585) 420-3914,Professional Employer Organization,352,352,12/31/2019,Termination of contract with St. James Mercy Hospital.,The employees are not represented by a union.,Plant Layoff
6/28/2019,Plant Closing,"DHR Restaurant Co. LLC, aka Rare Bar & Grill Murray Hill","303 Lexington Avenue  New York, NY 10016",(646) 401-4727,Restaurant,47,47,2/29/2020 or within 14 days thereafter,Seasonal venue,The employees are not represented by a union.,Plant Closing
9/23/2019,Plant Unit Closing,ACCO Brands USA LLC,"941 Acco Way  Ogdensburg, NY 13669",(315) 605-3090,Manufacturing operations,62,106,"Separations are expected to occur in two stages. 
The anticipated date for the permanent termination of manufacturing operations for Phase 1 is 11/29/2019 rather than between 10/1/2019 and 12/31/2019
 and Phase II will occur between January 1, 2020 and May 1, 2020.",Termination of Manufacturing Operations,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503",Plant Unit Closing
10/16/2019,Plant Closing,Barneys New York,"575 5th Avenue  New York, NY 10017",(212) 450-8606,Retail,785,785,11/1/2019,Economic,New York New Jersey Regional Joint Board Workers United A/W SEIU,Plant Closing
9/20/2019,Plant Layoff,"PRWT Services, Inc.","1150 South Avenue  Staten Island, NY 10314",(215) 569-8810 Ext,Data Processing Services,117,117,12/20/2019,Contracted work is being relocated by contracting entity,The employees are not represented by a union.,Plant Layoff
10/2/2019,Plant Layoff,Home Box Office. Inc. (HBO Service Corp.),"30 Hudson Yards  New York, NY 10001",(212) 512-7699,American premium channel,32,1176,"Separations will occur between December 31, 2019, or the 14-day period commencing on that date, and December 31, 2020, or the 14-day period commencing on that date.",Merger,The employees are not represented by a union.,Plant Layoff
10/8/2019,Plant Closing,Port Morris Tile & Marble LP,"460 West 34th Street, Ste1700 New York, NY 10001",(718) 378-6100,Tile and terrazzo contactors,189,215,"January 6, 2020",Economic,BAC Local 7 and International Brotherhood of Teamsters Local 282,Plant Closing
10/8/2019,Plant Layoff,Eastman Kodak Company (Kodak Office),"343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,-----,1/6/2020,Economic,The employee is not represented by a union.,Plant Layoff
8/06/2019,Plant Closing,Transform KM LLC (Kmart Store 04726),"975 Fairmount Ave W E  Jamestown, NY 14701",(847) 286-1427,Retail store,35,35,"Separations will occur on November 04, 2019 or during a 14-day period beginning on that date.",Economic,The employees are not represented by a union.,Plant Closing
10/7/2019,Plant Closing,"Somos Healthcare Providers, Inc.","519 Eighth Avenue, 14th Floor  New York, NY 10118",(516) 642-4068,Community care and advocate community provider,130,130,"Separations will occur on January 5, 2020 or within the fourteen (14) day period commencing on this date.",New York State contract expired,The employees are not represented by a union.,Plant Closing
10/3/2019,Plant Layoff,Eastman Kodak Company,"(Kodak Office)  343 State Street  Rochester, NY 14650",(585) 724-6615,Photographic equipment and Supplies,1,-----,12/31/2019,Economic,The employees are not represented by a union.,Plant Layoff
10/8/2019,Plant Layoff,"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street  Lancaster, NY 14086",(574) 306-8710,Medical equipment manufacturer,6,96,"January 6, 2020",Economic,The employees are not represented by a union.,Plant Layoff
10/7/2019,Plant Layoff,"Bonobos, Inc., a subsidiary of Walmart, Inc.","45 West 25th Street, 3rd Floor  New York, NY 10110",(646) 532-5800,An e-commerce-driven apparel subsidiary of Walmart headquartered in New York City that designs and sells men's clothing.,26,220,1/17/2020,Changes to its organizational structure,The employees are not represented by a union.,Plant Layoff
8/21/2019,Plant Closing,Library Bar (at Hudson Hotel),"358 West 58th St.  New York, NY 10019",(212) 453-6400,Bar in the Hudson Hotel,13,13,11/3/2019,Economic,"New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE, Local 6",Plant Closing
10/4/2019,Plant Closing,"J & M Distributing Co., Inc. (Certo Brothers Distributing)","2500 North America Drive  West Seneca, NY 14224",(716) 827-1133 Ext,Beer and Ale Merchant Wholesalers,270,270,"The expected date for separation of employment for the affected employees is during the 2-week period from January 10, 2020 to January 23, 2020.",Economic,"Teamsters Local 264, I.B.T.",Plant Closing
10/3/2019,Plant Closing,"RAROC, Inc. a subsidiary of Patina Restaurant Group, LLC","45 Rockefeller Plaza  New York, NY 10111",(347) 491-9358,Restaurant and Entertainment,328,328,"The associates impacted by the closure of the restaurants will have their employment terminated during the 14-day period commencing January 2, 2020. The associates impacted by the closure of the Skating Rink will have their employment terminated during the 14-day period commencing on April 19, 2020.",Lease termination,The employees are not represented by a union.,Plant Closing
10/4/2019,Plant Closing,"Taft Food Court, LLC - Restaurant Complex - Food Court (Pizza Hut, Nathan's and KFC) and Tad's Steaks Restaurants","761 Seventh Ave  New York, NY 10019",(212) 560-1749,Restaurants,41,41,"Separations will occur on January 5, 2020 or during the fourteen-day period that begins on that date.",Economic,Tad's Steaks are represented by the UNITE HERE Local 100,Plant Closing
10/4/2019,Plant Closing,New York Health & Racquet Club,"62 Cooper Square  New York, NY 10003",(212) 220-0673,Health and fitness center,57,57,"All affected employees are expected to be separated from employment on January 6, 2020.",Economic,The employees are not represented by a union.,Plant Closing
