notice_date,reason,company,address,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
10/29/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,2,-----,1/26/2016,Economic,Bumping rights do not exist.,Plant Layoff
5/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(607) 756-2821 Ext 202,Forgings and Galvanizing,89,89,"To occur in phases between 8/17/2015 and 12/31/2015 
(with three final layoffs postponed to occur on 2/4/2016,  2/11/2016 and 7/8/2016)",Economic,"United Automobile, Aerospace, and Agricultural Implement Workers of American and its  affiliate U.A.W. Local #1774, U.A.W. Region 9",Plant Closing
10/29/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(888) 851-5467,Social Security Disability Advocates,109,109,1/31/2016,Economic,"United Services Workers Union, IUJAT, Local 455",Plant Closing
10/26/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(518) 746-5617,Energy Management,127,127,1/23/2016,Relocation of Operations,"Local 332 United Electrical, Radio and Machine Workers",Plant Closing
5/12/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 366-3708,Bank - Back office,47,47,"to occur between 
12/11/2015 and 12/24/2015",Merger,Employees are not represented by a union and there are no bumping rights for affected  employees.,Plant Layoff
9/14/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 803-2616,"Cable Television, cellphone, internet local and long distance phone services",68,-----,12/21/2015,Economic,CWA Local 1153,Plant Layoff
9/14/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 803-2616,"Cable Television, cellphone, internet local and long distance phone services",42,-----,12/21/2015,Economic,CWA Local 1153,Plant Layoff
10/8/2015,Plant Unit Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 412-3314,Financial,268,268,to occur between 12/28/2015 and 3/10/2016,Economic,No bumping rights exist and none of the employees are represented by a union.,Plant Unit Closing
10/12/2015,,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(414) 212-6789,Retail store,45,45,2/28/2016,Economic,There will be no bumping rights for any affected employee.,Plant Closing
10/19/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(602) 553-2111,Restaurant,71,71,12/30/2015,Lease Expiration,Non-union,Plant Closing
10/16/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 632-4523,Mental Health Clinic,72,72,on or after 12/31/2015,Surrendering it's OMH Clinic License,"District Council 1707, CSEAU, AFSCME, AFL-CIO and Local 215",Plant Closing
10/16/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 438-8847,Grocery Store,51,51,1/13/2016,Lease expired,"UFCW Local 342, RWDSU Local 338",Plant Closing
10/5/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 688-0888,Emergency Response Services,113,113,1/3/2016,Loss of contract with New York Presbyterian Hospital,"Amalgamated Industrial Toy & Novelty Workers of America, Local  223, AFL-CIO",Plant Closing
10/14/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,1/11/2016,Economic,Bumping rights  do not exist.,Plant Layoff
8/19/2013,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 778-6232,Manufacturer of steam specialty & fluid control devices,52,91,Layoffs were extended for 2 remaining workers to occur on 10/31/2015,Economic,International Association of Machinist and Aerospace Workers Union (IAM),Plant Layoff
10/12/2015,Plant  Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,1/9/2016,Economic,Bumping rights  do not exist.,Plant Layoff
10/9/2015,Temporary Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 747-7209,Restaurant,115,115,12/12/2015,Restaurant will be relocated and reopen in the spring of 2016,None of the affected employees have bumping rights.,Temporary Plant Closing
9/30/2015,Plant  Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 931-2201,Specialty Shops,27,27,12/31/2015,Economic,There are no  bumping rights and the affected employees are not represented by a union.,Plant Closing
10/5/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 449-7790,Restaurant,71,71,1/3/2016,Termination of restaurant agreement,None of the affected employees have bumping rights.,Plant Closing
10/2/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 760-0620,Insurance Provider,147,147,12/31/2015,Economic,There are no bumping rights and the affected employees are not represented by a union.,Plant Closing
5/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 200-6154,Vitamins and Food Supplements Manufacturer,193,193,"To occur between 7/31/2015 and 
11/20/2015 or 14 days thereafter","Transfer of business to Nellson Nutraceutical, LLC in Irwindale, CA",There are no bumping rights and the affected employees are not represented by any union.,Plant Closing
9/28/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(347) 774-8000,Health Care Provider,246,1147 (for all sites listed),12/31/2015,Loss of contract,No bumping rights exist.,Plant Closing
10/2/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 369-8086,Financial Institution,2,-----,to occur during a 14-day period commencing on 12/30/2015,Economic,There are no bumping rights.,Plant Layoff
10/1/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,12/31/2015,Economic,Bumping rights do not exist.,Plant Layoff
8/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(508) 479-3041,Dining and Housekeeping Services,41,41,11/20/2015,Loss of Contract for Services,SEIU Local 1199,Plant Closing
10/2/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 412-3314,Financial,38,-----,The first separation is scheduled to occur on 2/29/2016,Economic,There are no bumping rights.,Plant Layoff
10/2/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 299-4915,Tourist attraction and Virtual Tour simulator,90,90,1/2/2016,Possible Termination of Lease,Bumping rights do not exist.,Plant Closing
2/6/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 465-6457,Home Support Services,39,39,to occur between 10/26/2015 and 11/9/2015,Sale of CHS Home Support Services to Continued Care of L.I. Inc.,None of the affected employees are represented by a union or will have bumping rights to other positions.,Plant Closing
10/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(213) 814-3032,Restaurant,68,68,1/3/2016,Economic,There are no bumping rights.,Plant Closing
9/30/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 285-4617,Microstructured Optic components,27,27,12/31/2015,Economic,No bumping rights exist.,Plant Closing
9/30/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 564-7115 x101,Retail Food Establishment,65,65,12/31/2015,Real Estate Sold,There are no bumping rights.,Plant Closing
9/29/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 796-2214,Education enrichment services,184,-----,9/29/2015,Economic,There are no employee representatives and  bumping rights do not exist.,Plant Layoff
9/29/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 733-5701,Law Practice,32,-----,To occur between 12/27/2015 and 12/29/2015,Economic,"Employees do not have any transfer, reassignment, or bumping rights.",Plant Layoff
9/23/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 781-1758,Photographic equipment and supplies,1,-----,12/30/2015,Economic,Bumping rights do not exist.,Plant Layoff
7/1/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(585) 924-3667 Ext 210,Grocery Store,132,132,To occur between 10/5/2015 and 10/30/2015,Economic,-----,Plant Closing
9/24/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 404-3167,Engineering and manufacturing of pneumatic parts,33,33,to occur between 12/31/2015 and 4/29/2016,Relocation of business to Ohio,Employees have no bumping rights.,Plant Closing
9/21/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 576-6598,Life Insurance,3,-----,12/31/2015,Relocate some of the company’s Information Technology Operations,There is no union representation at this location.  Bumping arrangements are not available for affected employees.,Plant Layoff
9/21/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 576-6598,Life Insurance,5,-----,12/31/2015,Relocation of some functions of the Information Technology operations,Bumping arrangements are not available for affected employees.,Plant Layoff
9/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(703) 464-4735 x10053,Guard and Protection Services,108,108,12/1/2015,Loss of contract with United Airlines at LaGuardia Airport,SEIU Local 32BJ,Plant Closing
9/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(703) 464-4735 Ext 10053,Guard and Protection Services,54,54,10/28/2015,Loss of contract with United Airlines at JFK,SEIU Local 32BJ,Plant Closing
9/21/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(646) 366-8841,Retail Toy Store,373,373,12/30/2015,Economic,There are no bumping rights.,Plant Closing
8/12/2015,Potential Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(201) 571-4018,Grocery Store,13097,"13,097 (total number affected for all sites in New York State)",11/12/2015 – 11/26/2015,The company has filed a voluntary petition in the United States Bankruptcy Court for the Southern District of New York under Chapter 11 of the Bankruptcy Code.,"1199 SEIU and UFCW Local 338, 342, 454A, 1262, 1245 and 1500.",Potential Plant Closing
9/14/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 602-3611,Pharmaceuticals,10,90,12/12/2015,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
9/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 282-6296,Air conditioning manufacturing,20,310,(9th phase) layoff will occur on or around 12/18/2015 and conclude by 12/31/2015. A small group will remain until 04/08/2016 to continue to support the transition.,Economic-relocation of operations,"United Steelworkers, Local 32",Plant Closing
9/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(703) 464-4735 x10053,Guard and Protection Services,109,109,12/1/2015,Loss of contract with United Airlines at LaGuardia Airport,SEIU Local 32BJ,Plant Closing
9/14/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 803-2616,"Cable Television, cellphone, internet, local and long distance phone services",42,-----,11/20/2015,Economic,CWA Local 1153,Plant Layoff
9/18/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(516) 745-4015,Banking,195,195,12/16/2015,Economic,The affected employees are not represented by a union.  No bumping rights exist.,Plant Closing
9/15/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 368-6086,Pharmaceutical Manufacturing,54,----,6th phase of layoffs to occur during a 14-day period commencing on 12/31/2015.,Economic,No union representation; bumping arrangements are not available for affected employees.,Plant Closing
8/25/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(714) 736-7567,Aircraft Engine & Engine Parts Mfg,78,78,To occur between 12/31/2015 and 3/31/2015,Economic,No bumping rights exist.,Plant Closing
3/17/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(949) 219-3730,Investment advisors,37,37,to occur between 9/16/2015 and 9/30/2015,Sale of company,There are no bumping rights.  The affected employees are not represented by a union.,Plant Closing
9/10/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650","Mariana Arteaga, Human Resources Director, Manager & Operational Support
 Phone",Pharmaceutical Products,16,----,To be separated from employment from 9/4/2015 through 12/15/2015,Company Restructuring,Local 95c ICWU/UFCW,Plant Layoff
7/29/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 292-2240,Alcohol & Substance Abuse Treatment & CASAC Training Centers,8,513 for all locations listed,9/21/2015,Economic,No employee will have bumping rights.,Plant Closing
8/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(610) 668-8800,Healthcare,199,199,11/30/2015 or within 14 days of that date.,Liberty Healthcare Corporation’s contract with the Westchester County  Health Care Corporation to provide health care professionals is being  terminated.,No union  presence at this site.,Plant Closing
8/31/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(508) 479-3041,Dining and Housekeeping Services,40,40,9/30/2015,Loss of Contract for Services,SEIU Local 1199,Plant Closing
9/1/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(972) 707-4637,Bank,54,-----,layoffs to occur between 11/30/2015 and 6/30/2016,Relocation of certain operations out of NY State,There are no transfer or bumping rights application and no union represents any of the  affected employees.,Plant Layoff
10/2/2014,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 482-4249,Advertising tracking firm,107,approximately 225 at this time,"to occur between 1/1/2015 and 
some layoffs will be postponed to occur after 1/1/2016",Relocation,Bumping rights do not apply.,Plant Closing
5/28/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 930-3405,"Global network of manufacturing, import, export, trading and distribution companies",46,46,"to occur between 8/31/2015 and the 14-day period commencing on 
11/16/2015",Relocation of offices to North Carolina,There are no bumping rights and the affected employees are not represented by a union.,Plant Closing
6/22/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(631) 960-1764,Aircraft Maintenance,10,10,9/25/2015,Economic,Air Transport Division,Plant Closing
5/22/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(972) 374-5203,Crew and Maintenance facilities,693,693,All affected personnel will be reassigned between 6/1/2015 and 1/15/2016,Reassignment of personnel to Dallas/Fort Worth & Chicago airports,"Association of Flight Attendants, Air Line Pilots Association",Plant Closing
8/26/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(972) 374-4794,Airline,1,-----,11/30/2015,Economic,-----,Plant Closing
8/24/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 716-0466,Passenger Handling,198,-----,11/24/2015,Contract Expiration,International Association of Machinists and Aerospace Workers,Plant Layoff
8/11/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(315) 475-1626,Commercial Laundry Services,150,150 - in all 4 locations,10/31/2015,Chapter 11 - Possible Sale of Facility,"Local 2607, Teamsters Local 294, Chauffeurs, Teamster, Warehousemen and Helpers Local Union #529, Teamsters Local 317",Plant Closing
7/8/2014,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(212) 994-2505,Game Developer,70,70,70 - 68 affected workers on 7/8/2015 and 2 affected workers on 8/28/2015,Economic,Bumping rights do not exist.,Plant Closing
3/25/2013,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(718) 780-1500,Medical Center,61,111,"Postponed to occur between 4/30/2015 and 
9/10/2015.",Economic,"1199 SEIU United Healthcare Workers East, New York State Nurses Association, Local 30 & 30 A-B-C-D of the International Union of Operating Engineers, and Special and Superior Officers Benevolent Association",Plant Closing
8/17/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(845) 602-3611,Pharmaceuticals,17,-----,To occur on 11/14/2015,Economic,Local 95c International Chemical Workers Union/UFCW,Plant Closing
8/26/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(319) 369-3552,Developing and Manufacturing - Clean Energy Systems,1,-----,12/31/2015,Economic,Employees are not represented by a union and do not have bumping rights.,Plant Layoff
8/21/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(317) 370-9103,Appliance Repair Division,31,31,During the 14-day period commencing on 11/22/2015,Economic,There are no bumping or transfer rights at this location.,Plant Closing
8/20/2015,Plant Closing,Eastman Kodak Company (Kodak  Office)," Rochester, NY  14650",(914) 428-7421,Construction Company,90,90,8/31/2015,Loss of Contract with Consolidated Edison,Local 143 IBEW,Plant Closing
